IdElement;NomElement;Superficie;Poblacio00-02;Poblacio03-11;Poblacio12-15;Poblacio16-17;Poblacio18-24;Poblacio25-34;Poblacio35-49;Poblacio50-64;Poblacio65-74;Poblacio75 i +;PoblacioTotal;SuperficieKm2;PoblacioPerKm2;IdBarri;NomBarri;IdDistricte;NomDistricte
SEC_228;228;74000;50;207;95;48;198;388;649;396;122;219;2372;0,074;32054;BAR_04;La Torrassa;DIS_2;Districte II
SEC_101;101;45223;49;138;74;43;108;196;441;384;146;106;1685;0,045223;37260;BAR_01;Centre;DIS_1;Districte I
SEC_102;102;30170;31;92;56;34;102;125;293;283;194;267;1477;0,03017;48956;BAR_01;Centre;DIS_1;Districte I
SEC_103;103;24713;23;75;22;10;61;100;202;160;76;97;826;0,024713;33424;BAR_01;Centre;DIS_1;Districte I
SEC_104;104;37915;22;84;41;14;63;95;239;192;71;107;928;0,037915;24476;BAR_01;Centre;DIS_1;Districte I
SEC_105;105;26202;25;84;56;25;63;142;267;214;157;106;1139;0,026202;43470;BAR_01;Centre;DIS_1;Districte I
SEC_107;107;101732;37;117;53;39;111;185;384;276;179;197;1578;0,101732;15511;BAR_01;Centre;DIS_1;Districte I
SEC_108;108;49176;38;129;55;14;120;201;345;294;138;132;1466;0,049176;29811;BAR_01;Centre;DIS_1;Districte I
SEC_109;109;28817;17;89;34;17;80;133;237;248;144;127;1126;0,028817;39074;BAR_01;Centre;DIS_1;Districte I
SEC_106;106;34846;19;122;46;27;102;159;362;344;291;150;1622;0,034846;46548;BAR_03;Sant Josep;DIS_1;Districte I
SEC_327;327;65252;26;102;54;22;87;149;277;269;185;77;1248;0,065252;19126;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_304;304;55124;65;215;54;25;97;316;617;305;117;146;1957;0,055124;35502;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_418;418;19122;38;135;76;28;108;223;349;282;98;147;1484;0,019122;77607;BAR_08;Les Planes;DIS_4;Districte IV
SEC_511;511;21565;61;227;95;44;194;381;608;423;135;242;2410;0,021565;111755;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_110;110;23305;22;77;33;19;61;111;255;189;182;167;1116;0,023305;47887;BAR_01;Centre;DIS_1;Districte I
SEC_216;216;23245;24;121;64;34;114;195;348;222;128;153;1403;0,023245;60357;BAR_05;Collblanc;DIS_2;Districte II
SEC_111;111;67834;10;49;32;9;58;79;169;170;87;130;793;0,067834;11690;BAR_01;Centre;DIS_1;Districte I
SEC_112;112;35055;40;117;52;34;131;217;398;319;204;141;1653;0,035055;47154;BAR_01;Centre;DIS_1;Districte I
